,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
39005,0.889,1996,0.0244,['A Tribe Called Quest'],0.883,200427,0.3670000000000001,0,34DES5skEhdS6cuD9JUuVo,0.0,8,0.373,-8.773,0,Motivators,2,1996-07-30,0.373,93.672
146289,0.536,2013,0.0113,['Atlas Genius'],0.721,217387,0.8220000000000001,0,4AyoAGuhE8gydBPrczuhbl,7.01e-05,7,0.0898,-4.843,1,Trojans,3,2013-02-19,0.0391,140.002
127260,0.841,1999,0.262,['Los Caminantes'],0.627,192133,0.7859999999999999,0,6NrX4jkUjH5mwLKYKU5xzO,0.0,2,0.436,-5.995,1,Sólo los Tontos,2,1999,0.0296,128.287
104522,0.512,1933,0.901,"['Billie Holiday', 'Teddy Wilson']",0.682,183907,0.158,0,6w5VxhU7Yxs3okp6OSjEdb,2.42e-06,7,0.0817,-11.946,1,More Than You Know (with Teddy Wilson & His Orchestra) - Take 2,0,1933,0.0423,99.69
97273,0.293,1972,0.907,['Aretha Franklin'],0.463,239960,0.273,0,7L4G39PVgMfaeHRyi1ML7y,0.000367,0,0.101,-15.364,0,Day Dreaming,3,1972-01-24,0.074,146.42600000000004
3508,0.485,1975,0.148,['Bad Company'],0.449,239600,0.5820000000000001,0,2xxPVNbgMOmzsUGDEctYQc,0.00017,6,0.348,-9.62,0,Weep No More - 2015 Remaster,1,1975,0.0304,101.472
7488,0.645,1991,0.105,['Geto Boys'],0.902,254960,0.68,1,2kEECRiLCWgUrWkGcmNJes,1.36e-06,7,0.142,-11.895,1,Fuck a War,1,1991-07-02,0.399,108.39
15304,0.787,1983,0.0724,['The Replacements'],0.434,129267,0.897,0,4tDeLNuoOgqUtC0LeXK5s1,0.789,1,0.103,-9.778,0,Buck Hill,1,1983-04-29,0.0581,171.74900000000005
46039,0.757,1998,0.0311,['Alicia Myers'],0.782,229627,0.433,0,6ODAghAlMTyu9fWa2CNKmf,0.00244,11,0.111,-12.571,0,I Want To Thank You,2,1998-01-01,0.0615,111.705
16289,0.523,1986,0.317,['Müslüm Gürses'],0.353,269640,0.672,0,0aTxurHLM42uBcAxjsZLES,3.05e-05,8,0.0962,-5.795,1,Unutamadım - Kaç Kadeh Kırıldı,2,1986-05-22,0.04,168.299
